,videoset1,videoset2,category
12,0312.mp4,2183.mp4,Sadness
35,2163.mp4,2025.mp4,Calmness
53,0048.mp4,1123.mp4,Disgust
49,1765.mp4,1556.mp4,Disgust
24,0857.mp4,0865.mp4,Disgust
45,0198.mp4,1680.mp4,Calmness
31,0503.mp4,0281.mp4,Amusement
30,0631.mp4,0969.mp4,Calmness
15,1620.mp4,1988.mp4,Calmness
4,1471.mp4,2018.mp4,Disgust
25,0476.mp4,0084.mp4,Calmness
13,0329.mp4,0604.mp4,Anxiety
22,1259.mp4,0700.mp4,Sadness
0,1216.mp4,1835.mp4,Calmness
27,1623.mp4,0009.mp4,Sadness
29,0464.mp4,1414.mp4,Disgust
28,1297.mp4,0853.mp4,Anxiety
48,0370.mp4,1955.mp4,Anxiety
2,1933.mp4,1959.mp4,Sadness
14,2106.mp4,1792.mp4,Disgust
36,0625.mp4,2031.mp4,Amusement
6,0741.mp4,1289.mp4,Amusement
38,0045.mp4,1679.mp4,Anxiety
52,0048.mp4,1123.mp4,Disgust
51,2042.mp4,0194.mp4,Amusement
42,0051.mp4,1621.mp4,Sadness
43,0985.mp4,0648.mp4,Anxiety
3,0046.mp4,1313.mp4,Anxiety
20,1071.mp4,0636.mp4,Calmness
44,1757.mp4,0030.mp4,Disgust
46,0497.mp4,0864.mp4,Amusement
8,0489.mp4,0377.mp4,Anxiety
9,0048.mp4,1123.mp4,Disgust
21,0416.mp4,1047.mp4,Amusement
40,0397.mp4,0219.mp4,Calmness
34,0214.mp4,1122.mp4,Disgust
33,0096.mp4,0372.mp4,Anxiety
50,2042.mp4,0194.mp4,Amusement
47,1786.mp4,1169.mp4,Sadness
32,2136.mp4,1231.mp4,Sadness
19,0271.mp4,0551.mp4,Disgust
23,0845.mp4,0598.mp4,Anxiety
10,0058.mp4,1716.mp4,Calmness
5,0590.mp4,1760.mp4,Calmness
37,1485.mp4,2011.mp4,Sadness
17,0971.mp4,1101.mp4,Sadness
26,0728.mp4,1290.mp4,Amusement
11,2061.mp4,1963.mp4,Amusement
18,0722.mp4,0615.mp4,Anxiety
41,2042.mp4,0194.mp4,Amusement
7,0059.mp4,2035.mp4,Sadness
39,1271.mp4,1268.mp4,Disgust
1,0740.mp4,0938.mp4,Amusement
16,2039.mp4,2111.mp4,Amusement